Activation: logistic, Level: (60,)
C	train	test
10^-7   0.9995833333333334	0.9383333333333334
10^-5	0.9995833333333334	0.9183333333333333
10^-3	0.999375	0.9366666666666666
10^-2	0.9997916666666666	0.9316666666666666
10^-1	0.9997916666666666	0.9483333333333334
10^0	0.981875	0.95
10^1	0.8941666666666667	0.89
10^2	0.7175	0.7266666666666667
10^4	0.336875	0.3233333333333333
10^6	0.336875	0.3233333333333333

Activation: logistic, Level: (60, 20)
C	train	test
10^-7	0.9995833333333334	0.9233333333333333
10^-5	0.9995833333333334	0.9283333333333333
10^-3	0.9995833333333334	0.9216666666666666
10^-2	0.9997916666666666	0.94
10^-1	1.0	0.9433333333333334
10^0	0.9820833333333333	0.95
10^1	0.7897916666666667	0.7783333333333333
10^2	0.3375	0.31166666666666665
10^4	0.3375	0.31166666666666665
10^6	0.3375	0.31166666666666665

Activation: logistic, Level: (100, 60, 20)
C	train	test
10^-7	0.9991666666666666	0.9133333333333333
10^-5	0.9983333333333333	0.9166666666666666
10^-3	0.9997916666666666	0.925
10^-2	1.0	0.9466666666666667
10^-1	1.0	0.9416666666666667
10^0	0.975	0.935
10^1	0.336875	0.3233333333333333
10^2	0.336875	0.3233333333333333
10^4	0.3375	0.31166666666666665
10^6	0.3375	0.31166666666666665

Activation: tanh, Level: (60,)
C	train	test
10^-7	0.9997916666666666	0.93
10^-5	0.9997916666666666	0.9233333333333333
10^-3	0.9997916666666666	0.93
10^-2	0.9997916666666666	0.9316666666666666
10^-1	1.0	0.9516666666666667
10^0	0.9997916666666666	0.95
10^1	0.94125	0.9333333333333333
10^2	0.88125	0.875
10^4	0.336875	0.3233333333333333
10^6	0.3375	0.31166666666666665

Activation: tanh, Level: (60, 20)
C	train	test
10^-7	0.9997916666666666	0.9216666666666666
10^-5	0.9997916666666666	0.9216666666666666
10^-3	1.0	0.92
10^-2	1.0	0.9266666666666666
10^-1	1.0	0.9383333333333334
10^0	1.0	0.9433333333333334
10^1	0.946875	0.9383333333333334
10^2	0.7727083333333333	0.77
10^4	0.3375	0.31166666666666665
10^6	0.3375	0.31166666666666665

Activation: tanh, Level: (100, 60, 20)
C	train	test
10^-7	1.0	0.9083333333333333
10^-5	1.0	0.9333333333333333
10^-3	1.0	0.9333333333333333
10^-2	1.0	0.9316666666666666
10^-1	0.9997916666666666	0.935
10^0	1.0	0.945
10^1	0.9535416666666666	0.935
10^2	0.7291666666666666	0.7283333333333334
10^4	0.336875	0.3233333333333333
10^6	0.3375	0.31166666666666665

Activation: relu, Level: (60,)
C	train	test
10^-7	1.0	0.9433333333333334
10^-5	1.0	0.94
10^-3	1.0	0.9416666666666667
10^-2	1.0	0.945
10^-1	1.0	0.9533333333333334
10^0	0.9997916666666666	0.9533333333333334
10^1	0.9591666666666666	0.95
10^2	0.8777083333333333	0.8833333333333333
10^4	0.3375	0.31166666666666665
10^6	0.336875	0.3233333333333333

Activation: relu, Level: (60, 20)
C	train	test
10^-7	1.0	0.9416666666666667
10^-5	1.0	0.9416666666666667
10^-3	1.0	0.9433333333333334
10^-2	1.0	0.955
10^-1	0.9914583333333333	0.9433333333333334
10^0	1.0	0.9516666666666667
10^1	0.9670833333333333	0.9466666666666667
10^2	0.8104166666666667	0.8116666666666666
10^4	0.3375	0.31166666666666665
10^6	0.336875	0.3233333333333333

Activation: relu, Level: (100, 60, 20)
C	train	test
10^-7	1.0	0.935
10^-5	1.0	0.94
10^-3	1.0	0.945
10^-2	1.0	0.9416666666666667
10^-1	1.0	0.9383333333333334
10^0	1.0	0.9516666666666667
10^1	0.9708333333333333	0.9583333333333334
10^2	0.3375	0.31166666666666665
10^4	0.3375	0.31166666666666665
10^6	0.3375	0.31166666666666665

